,Gene name,mito,ORF,value,R value,P value,BH
272,OXA1,mito,YER154W,0.00015310795499102792,-0.04191440710653731,0.7772832449289175,1.102803857148682
273,MRPS17,mito,YMR188C,0.0001524257265324095,-0.025317177167102096,0.8614572436102353,1.155592772365956
274,MET7,mito,YOR241W,0.00015230747256969834,-0.06751013406821273,0.6413394950604783,1.014280265020502
275,FMP27,mito,YLR454W,0.00014974068281648035,-0.08852667589356625,0.5540318087383791,0.9516769391688882
276,MRPL1,mito,YDR116C,0.0001482257577009834,0.02297566547449608,0.874161964417493,1.1628292175448565
277,MAS1,mito,YLR163C,0.00014820514267111016,0.07841234628283751,0.5883216845249919,0.975307882246957
278,AIM24,mito,YJR080C,0.00014689982372383372,0.20446370662037108,0.15876548788329978,0.5745798609109897
279,HEM1,mito,YDR232W,0.0001466653462493884,-0.23645205481095155,0.09828696330866198,0.4724404982651075
280,PUT1,mito,YLR142W,0.0001465787813858682,0.26930255847698475,0.09734487578579272,0.4708903467997328
281,NIF3,mito,YGL221C,0.0001460201514320619,-0.04726362894324917,0.7444746209927215,1.0804596663675399
282,PAM16,mito,YJL104W,0.00014544926027879024,0.009555619731514479,0.9474885749703348,1.2050617056149293
283,COA6,mito,YMR244C-A,0.00014543187030319354,0.036413904309798746,0.8017709157406269,1.1192067476869159
284,SDH4,core,YDR178W,0.00014493029001865596,0.4109451890045771,0.0037145264279915212,0.07157003033087889
285,MRPS35,mito,YGR165W,0.00014411044866464374,0.0011131247513800117,0.9938787712750838,1.2295407479691758
286,PTC7,mito,YHR076W,0.00014367640346594582,-0.07012807481269968,0.6357579012601497,1.0112986150277732
287,OSM1,mito,YJR051W,0.000143534285466744,-0.10018248992417132,0.4980911250837581,0.9061019403119429
288,CCS1,mito,YMR038C,0.00014241367169858616,-0.39102991087412303,0.004987916308102486,0.0881585207943695
289,RPO41,mito,YFL036W,0.0001421857977488995,-0.2540426766024105,0.07816808644846178,0.42603164247607855
290,NAM2,mito,YLR382C,0.0001421786270092744,-0.015732579955237996,0.915477752049068,1.1819305066092158
291,IRA2,mito,YOL081W,0.0001418131398520164,-0.02805810338041531,0.8498535404504954,1.1476798058600965
292,DLD3,mito,YEL071W,0.0001416269605849521,-0.3870522923800888,0.005489971386536961,0.09435026201988145
293,UIP4,mito,YPL186C,0.00014114541365284163,0.13102921523173258,0.39092348659566134,0.8192146594100256
294,YML6,mito,YML025C,0.00014111686603939308,0.13138066996035708,0.3631098898272588,0.7909782313434555
295,FIS1,mito,YIL065C,0.00014035224930749053,0.2385306926723675,0.09527961594986128,0.4671774717541585
296,CBP3,mito,YPL215W,0.0001400907780094944,0.056556581984558874,0.6964530392380837,1.0495128416806547
297,MRPL40,mito,YPL173W,0.00013966297125693944,0.1263113265159829,0.39228731574427,0.8195617714388537
298,FSF1,mito,YOR271C,0.00013896155456243452,0.08708377109587359,0.5476104118022941,0.9468289223275256
299,AIM19,mito,YIL087C,0.0001384958483805966,0.09941578956415316,0.5640235065870083,0.9573004429417212
300,MRPL3,mito,YMR024W,0.00013814082416684,-0.0005655963231328769,0.9968896847794453,1.2305947381143125
301,PBP1,mito,YGR178C,0.00013677060925834693,-0.26954229572194005,0.06107981624772147,0.3811915539547581
302,ATP11,mito,YNL315C,0.0001366979409580823,-0.006178288520415103,0.9660343447161144,1.2168830419628403
303,RSM28,mito,YDR494W,0.00013633742466767908,0.08808712843196712,0.5560089628734333,0.9522036319615131
304,UTH1,mito,YKR042W,0.00013446924840832173,0.022590483493735596,0.8929105646349726,1.172716640188789
305,ATG27,mito,YJL178C,0.00013423079911175845,-0.14382556358322565,0.3190216117989723,0.7732486976275587
306,RSM7,mito,YJR113C,0.00013413259571960306,0.16508376818382975,0.25698207347689417,0.7107793702312802
307,MCX1,mito,YBR227C,0.00013404840351079805,-0.15234542687170813,0.29088665409369396,0.745471979768028
308,COX15,core,YER141W,0.00013403463921403183,0.05578989504374326,0.7033929010377215,1.054164645726997
