Gene name,LFQ Intensity A549_1,LFQ Intensity A549_2,LFQ Intensity A549_3,LFQ Intensity GAMG_1,LFQ Intensity GAMG_2,LFQ Intensity GAMG_3,LFQ Intensity HEK293_1,LFQ Intensity HEK293_2,LFQ Intensity HEK293_3,LFQ Intensity HeLa_1,LFQ Intensity HeLa_2,LFQ Intensity HeLa_3,LFQ Intensity HepG2_1,LFQ Intensity HepG2_2,LFQ Intensity HepG2_3,LFQ Intensity Jurkat_1,LFQ Intensity Jurkat_2,LFQ Intensity Jurkat_3,LFQ Intensity K562_1,LFQ Intensity K562_2,LFQ Intensity K562_3,LFQ Intensity LnCap_1,LFQ Intensity LnCap_2,LFQ Intensity LnCap_3,LFQ Intensity MCF7_1,LFQ Intensity MCF7_2,LFQ Intensity MCF7_3,LFQ Intensity RKO_1,LFQ Intensity RKO_2,LFQ Intensity RKO_3,LFQ Intensity U2OS_1,LFQ Intensity U2OS_2,LFQ Intensity U2OS_3
RP11-435J19.1-003;WNT7B;RP11-435J19.1-002,,,9.683206297347835e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5orf28,,,,,,,,,,,,,,,,,,,,,,,1.148436241244687e-06,,,,,,,,,,
NPDC1;RP11-229P13.1-002,,,,,,,,,,,,,,,,,,,,,,,,5.354034454351632e-07,,,,,,,,,
SSX2;SSX2A;SSX2B;SSX-HSTT,,,,,,,,,,,,4.84621973814338e-07,,,,,,,,,,,,,,,,,,,,,
KIAA0542;SFI1;RP5-858B16.1-024,,,,,,,,,,,,,,,,,,1.5529372428801986e-07,,,,,,,,,,,,,,,
BDKRB2;BKR2;DKFZp686O088;B2-bradykinin receptor gene,,,5.108544542550629e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2orf27A;C2orf27B,,,7.800495388556977e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNF771,,,,,,,,1.797712919109601e-05,,,,,,,,,,,,,,,,,,,,,,,,,
HOX3G;HOXC13;NUP98/HOXC13,,,,,,,,,,,,,,,,,,,,,,,,,2.970014652909494e-07,,,,,,,,
RNPEPL1,,,,,,8.095356202999467e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB5,,,,,,1.4170199441470884e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGCB;hCG_20638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.027785867201751e-06
AQP11;AQPX1;PSEC0027,,,,,,,,,,,,,,3.5567726048274387e-06,,,,,,,,,,,,,,,,,,,
LPRP;PROL4;PRR4,,,,,,,,,,,,,,,,,,,,,,2.7731230146012178e-05,,,,,,,,,,,
NIPAL3;NPAL3;hCG_20009;RP3-462O23.3-007,,,,,,,,,4.95827361828277e-07,,,,,,,,,,,,,,,,,,,,,,,,
TSPAN1,,,,,,,,,,,,,,,,,,,,,,,,1.1086875269951325e-05,,,,,,,,,
B3GNT5,,,,,,7.039777984042683e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM4SF1;M3S1;TAAL6,,,,,,,,,,,,1.6846554919815388e-05,,,,,,,,,,,,,,,,,,,,,
HIAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.646060513116151e-06,,,,,
NKX2-4;NKX2D,,,,,,,,,3.8182599246928843e-07,,,,,,,,,,,,,,,,,,,,,,,,
C15orf61,,,,,,,,,,,2.181299450434786e-06,,,,,,,,,,,,,,,,,,,,,,
ORAI2,,,3.837436344401194e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIG43;PLSCR4;hCG_16799,,,,,,,,,,,,,5.840619084471177e-07,,,,,,,,,,,,,,,,,,,,
TMEM128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1488408396865063e-06
